"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.719715295024121E9,"2024-06-29 22:41:35.024 UTC-04:00"
"PAUSE",4.950999447498470E2,1.719715790123983E9,"2024-06-29 22:49:50.124 UTC-04:00"
